fips,lon,lat,pop,name
47037,-86.744752,36.137771,715884,Davidson
47039,-88.123327,35.606176,11435,Decatur
47041,-85.836916,35.967047,20080,DeKalb
47043,-87.343938,36.104233,54315,Dickson
47045,-89.358361,36.059417,36801,Dyer
47047,-89.479763,35.201116,41990,Fayette
47049,-84.936669,36.363232,18489,Fentress
47051,-86.116159,35.208173,42774,Franklin
47053,-88.870969,35.932264,50429,Gibson
47055,-87.030448,35.192203,30346,Giles
47057,-83.48663,36.266188,23527,Grainger
47059,-82.832594,36.17748,70152,Greene
47061,-85.722272,35.343196,13529,Grundy
47063,-83.297502,36.215549,64499,Hamblen
47065,-85.201806,35.093764,366207,Hamilton
47067,-83.231102,36.517225,6662,Hancock
47069,-89.018519,35.222929,25462,Hardeman
47071,-88.225953,35.198544,26831,Hardin
47073,-82.874023,36.463,56721,Hawkins
47075,-89.267733,35.586198,17864,Haywood
47077,-88.402891,35.647965,27842,Henderson
47079,-88.291369,36.319829,32199,Henry
47081,-87.405499,35.85471,24925,Hickman
47083,-87.704274,36.304161,8283,Houston
47085,-87.77509,36.071211,18990,Humphreys
47087,-85.629403,36.327984,11617,Jackson
47089,-83.453077,36.064823,54683,Jefferson
47091,-81.844689,36.450066,17948,Johnson
47093,-83.991621,35.971886,478971,Knox
47095,-89.467221,36.356402,7005,Lake
47097,-89.537383,35.765131,25143,Lauderdale
47099,-87.353601,35.237607,44159,Lawrence
47101,-87.521716,35.533225,12582,Lewis
47103,-86.57174,35.105199,35319,Lincoln
47105,-84.284282,35.760641,54886,Loudon
47107,-84.598722,35.426045,53276,McMinn
47109,-88.537496,35.176963,25866,McNairy
47111,-86.025628,36.535265,25216,Macon
47113,-88.824487,35.653504,98823,Madison
47115,-85.608797,35.10952,28837,Marion
47117,-86.770825,35.496732,34318,Marshall
47119,-87.029196,35.635591,100974,Maury
47121,-84.816211,35.502098,12758,Meigs
47123,-84.354235,35.518372,46250,Monroe
47125,-87.345978,36.557126,220069,Montgomery
47127,-86.340442,35.296438,6461,Moore
47129,-84.593205,36.098366,21035,Morgan
47131,-89.07991,36.397163,30787,Obion
47133,-85.324939,36.344912,22511,Overton
47135,-87.859297,35.653842,8366,Perry
47137,-85.141318,36.565622,5001,Pickett
47139,-84.568406,35.125195,17544,Polk
47141,-85.503795,36.163157,79854,Putnam
47143,-84.954393,35.556758,32870,Rhea
47145,-84.52216,35.881148,53404,Roane
47147,-86.830273,36.48456,72803,Robertson
47149,-86.450266,35.888267,341486,Rutherford
47151,-84.508258,36.45447,21850,Scott
47153,-85.391417,35.355415,15826,Sequatchie
47155,-83.58249,35.864247,98380,Sevier
47157,-89.886356,35.131029,929744,Shelby
47159,-85.968175,36.241313,19904,Smith
47161,-87.800108,36.493716,13657,Stewart
47163,-82.397127,36.529913,158163,Sullivan
47165,-86.536038,36.396228,196281,Sumner
47167,-89.750299,35.47587,60970,Tipton
47169,-86.153351,36.386235,11615,Trousdale
47171,-82.394706,36.151274,17928,Unicoi
47173,-83.815954,36.245311,19802,Union
47175,-85.454611,35.711516,6168,Van Buren
47177,-85.794787,35.695188,40953,Warren
47179,-82.433815,36.325615,133001,Washington
47181,-87.790328,35.258132,16232,Wayne
47183,-88.773817,36.292493,32902,Weakley
47185,-85.488902,35.941573,27351,White
47187,-86.846241,35.912269,247726,Williamson
47189,-86.409498,36.200347,147737,Wilson
48001,-95.683934,31.775312,57922,Anderson
48003,-102.539607,32.321401,18610,Andrews
48005,-94.716132,31.313526,86395,Angelina
48007,-97.072506,28.030687,23830,Aransas
48009,-98.607348,33.712813,8560,Archer
48011,-101.392108,35.092208,1848,Armstrong
48013,-98.578427,29.041628,48981,Atascosa
48015,-96.219899,29.850973,30167,Austin
48017,-102.744103,34.218733,6904,Bailey
48019,-99.031596,29.703518,20851,Bandera
48021,-97.366668,30.142585,97216,Bastrop
48023,-99.264553,33.591163,3465,Baylor
48025,-97.733787,28.395559,31047,Bee
48027,-97.591674,31.08149,370647,Bell
48029,-98.532945,29.484685,2009324,Bexar
48031,-98.39208,30.177148,11374,Blanco
48033,-101.436493,32.757641,631,Borden
48035,-97.570902,31.862115,18235,Bosque
48037,-94.20082,33.436613,92893,Bowie
48039,-95.385044,29.355331,372031,Brazoria
48041,-96.328757,30.624157,233849,Brazos
48043,-103.620129,30.222448,9546,Brewster
48045,-101.234309,34.443465,1435,Briscoe
48047,-98.144842,27.208714,7076,Brooks
48049,-98.989268,31.731619,38095,Brown
48051,-96.644593,30.475618,17642,Burleson
48053,-98.241706,30.672177,49130,Burnet
48055,-97.674628,29.865312,45883,Caldwell
48057,-96.625881,28.589157,20106,Calhoun
48059,-99.452875,32.351779,13708,Callahan
48061,-97.561196,26.047418,421017,Cameron
48063,-94.985027,32.990171,12464,Camp
48065,-101.328264,35.382121,5807,Carson
48067,-94.297274,33.080612,28454,Cass
48069,-102.272214,34.525081,7371,Castro
48071,-94.768972,29.805419,46571,Chambers
48073,-95.216202,31.913488,50412,Cherokee
48075,-100.223958,34.428092,6664,Childress
48077,-98.244798,33.825391,10218,Clay
48079,-102.741038,33.689389,2547,Cochran
48081,-100.416634,31.904116,3285,Coke
48083,-99.425034,31.808131,7684,Coleman
