fips,county_name,acs_vintage,total_pop,median_hh_income,median_age,poverty_universe,poverty_below,poverty_rate,race_total,race_white,race_black,pct_white,pct_black,pop_under_18,pct_under_18,pop_21plus,pct_21plus
5095,"Monroe County, Arkansas",2010,8492.0,29964.0,43.2,8334.0,1871.0,0.2245,8492.0,4877.0,3468.0,0.5743,0.4084,2053.0,0.2418,6439.0,0.7582
5097,"Montgomery County, Arkansas",2010,9490.0,35705.0,46.0,9343.0,1847.0,0.1977,9490.0,8918.0,7.0,0.9397,0.0007,2120.0,0.2234,7370.0,0.7766
5099,"Nevada County, Arkansas",2010,9149.0,38375.0,39.9,9032.0,1806.0,0.2,9149.0,5962.0,2995.0,0.6517,0.3274,2241.0,0.2449,6908.0,0.7551
5101,"Newton County, Arkansas",2010,8394.0,27441.0,44.8,8358.0,1879.0,0.2248,8394.0,7994.0,28.0,0.9523,0.0033,1776.0,0.2116,6618.0,0.7884
5103,"Ouachita County, Arkansas",2010,26293.0,31259.0,42.0,25905.0,5160.0,0.1992,26293.0,15050.0,10575.0,0.5724,0.4022,6252.0,0.2378,20041.0,0.7622
5105,"Perry County, Arkansas",2010,10435.0,43635.0,41.2,10396.0,1570.0,0.151,10435.0,9968.0,261.0,0.9552,0.025,2401.0,0.2301,8034.0,0.7699
5107,"Phillips County, Arkansas",2010,22412.0,27361.0,36.0,22127.0,7176.0,0.3243,22412.0,8006.0,14204.0,0.3572,0.6338,6509.0,0.2904,15903.0,0.7096
5109,"Pike County, Arkansas",2010,11286.0,32806.0,39.1,11218.0,2318.0,0.2066,11286.0,10100.0,394.0,0.8949,0.0349,2971.0,0.2632,8315.0,0.7368
5111,"Poinsett County, Arkansas",2010,24703.0,32267.0,39.3,24294.0,6274.0,0.2583,24703.0,22427.0,1718.0,0.9079,0.0695,6058.0,0.2452,18645.0,0.7548
5113,"Polk County, Arkansas",2010,20490.0,32525.0,43.2,20205.0,4123.0,0.2041,20490.0,18962.0,42.0,0.9254,0.002,4949.0,0.2415,15541.0,0.7585
5115,"Pope County, Arkansas",2010,60460.0,39841.0,35.1,58240.0,10585.0,0.1817,60460.0,55304.0,1905.0,0.9147,0.0315,14143.0,0.2339,46317.0,0.7661
5117,"Prairie County, Arkansas",2010,8839.0,35346.0,43.5,8660.0,1320.0,0.1524,8839.0,7548.0,1181.0,0.8539,0.1336,1934.0,0.2188,6905.0,0.7812
5119,"Pulaski County, Arkansas",2010,377060.0,45121.0,35.7,370766.0,60727.0,0.1638,377060.0,226923.0,130584.0,0.6018,0.3463,91605.0,0.2429,285455.0,0.7571
5121,"Randolph County, Arkansas",2010,18049.0,30222.0,42.0,17657.0,3472.0,0.1966,18049.0,17512.0,114.0,0.9702,0.0063,4207.0,0.2331,13842.0,0.7669
