fips,year,dist_popcen_instate,dist_popcen_aug,dist_border_instate,dist_border_aug,nearest_wet_fips_aug,nearest_wet_is_oos,n_wet_neighbors_instate_chk,n_oos_wet_neighbors,n_wet_neighbors_aug,any_wet_neighbor_aug,share_wet_neighbors_aug
05035,2018,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2019,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2020,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2021,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2022,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2023,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05037,2008,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2009,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2010,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2011,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2012,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2013,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2014,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2015,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2016,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2017,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2018,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2019,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2020,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2021,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2022,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05037,2023,16.259,16.259,7.284,7.284,05123,0,5,0,5,1,1.0
05039,2008,19.321,19.321,4.443,4.443,05013,0,3,0,3,1,0.5
05039,2009,19.321,19.321,4.443,4.443,05013,0,3,0,3,1,0.5
05039,2010,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2011,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2012,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2013,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2014,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2015,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2016,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2017,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2018,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2019,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2020,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2021,19.321,19.321,4.443,4.443,05013,0,4,0,4,1,0.6667
05039,2022,19.321,19.321,4.443,4.443,05013,0,5,0,5,1,0.8333
05039,2023,19.321,19.321,4.443,4.443,05013,0,5,0,5,1,0.8333
05041,2008,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2009,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2010,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2011,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2012,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2013,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2014,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2015,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2016,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2017,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2018,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2019,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
05041,2020,23.329,23.329,2.03,2.03,05043,0,4,0,4,1,0.5714
