fips,year,church_establishments,church_employees
5131,2008,84,846
5131,2009,84,846
5131,2010,84,846
5131,2011,87,988
5131,2012,88,1205
5131,2013,87,1185
5131,2014,87,1003
5131,2015,89,1004
5131,2016,93,1082
5131,2017,92,1050
5131,2018,90,1016
5131,2019,90,985
5131,2020,83,904
5131,2021,84,810
5131,2022,83,857
5131,2023,82,919
5133,2008,14,67
5133,2009,14,67
5133,2010,14,67
5133,2011,13,0
5133,2012,13,60
5133,2013,13,46
5133,2014,14,54
5133,2015,13,59
5133,2016,14,51
5133,2017,15,38
5133,2018,13,44
5133,2019,15,47
5133,2020,15,52
5133,2021,15,47
5133,2022,14,49
5133,2023,14,52
5135,2008,24,84
5135,2009,24,84
5135,2010,24,84
5135,2011,25,78
5135,2012,23,77
5135,2013,22,75
5135,2014,21,68
5135,2015,22,69
5135,2016,23,70
5135,2017,22,68
5135,2018,23,77
5135,2019,22,61
5135,2020,21,69
5135,2021,20,64
5135,2022,21,68
5135,2023,20,73
5137,2008,14,60
5137,2009,14,60
5137,2010,14,60
5137,2011,12,42
5137,2012,11,41
5137,2013,11,35
5137,2014,11,40
5137,2015,13,47
5137,2016,13,42
5137,2017,14,41
5137,2018,14,41
5137,2019,13,35
5137,2020,14,33
5137,2021,14,42
5137,2022,13,46
5137,2023,13,36
5139,2008,76,456
5139,2009,76,456
5139,2010,76,456
5139,2011,77,444
5139,2012,77,438
5139,2013,78,393
5139,2014,76,376
5139,2015,80,407
5139,2016,78,378
5139,2017,82,390
5139,2018,81,372
5139,2019,76,359
5139,2020,74,331
5139,2021,70,308
5139,2022,71,298
5139,2023,70,314
5141,2008,25,0
5141,2009,25,0
5141,2010,25,0
5141,2011,22,64
5141,2012,25,76
5141,2013,25,78
5141,2014,23,66
5141,2015,24,72
5141,2016,24,63
5141,2017,21,61
5141,2018,20,74
5141,2019,22,72
5141,2020,21,76
5141,2021,23,76
5141,2022,23,73
5141,2023,24,69
5143,2008,130,1572
5143,2009,130,1572
5143,2010,130,1572
5143,2011,127,1617
5143,2012,130,1745
5143,2013,131,1676
5143,2014,136,1719
5143,2015,143,1728
5143,2016,150,1787
5143,2017,149,1822
5143,2018,150,1838
5143,2019,155,1953
5143,2020,147,1895
5143,2021,147,1684
5143,2022,150,1781
5143,2023,157,2066
5145,2008,62,487
5145,2009,62,487
5145,2010,62,487
5145,2011,61,462
5145,2012,63,477
5145,2013,65,466
5145,2014,65,534
5145,2015,69,557
5145,2016,69,560
5145,2017,70,474
5145,2018,69,534
5145,2019,66,506
5145,2020,67,532
5145,2021,63,446
5145,2022,62,472
5145,2023,64,514
5147,2008,11,41
5147,2009,11,41
5147,2010,11,41
5147,2011,11,31
5147,2012,12,0
5147,2013,12,0
5147,2014,13,40
5147,2015,12,33
5147,2016,11,42
5147,2017,10,28
5147,2018,10,26
5147,2019,9,24
5147,2020,9,26
5147,2021,10,26
5147,2022,10,30
5147,2023,11,20
5149,2008,18,41
5149,2009,18,41
5149,2010,18,41
5149,2011,16,44
5149,2012,16,48
5149,2013,20,64
5149,2014,21,0
5149,2015,22,50
5149,2016,22,53
5149,2017,24,54
5149,2018,25,54
5149,2019,26,50
5149,2020,22,53
5149,2021,23,50
5149,2022,18,44
5149,2023,21,52
