fips,county_name,acs_vintage,pop_15plus,n_married,n_divorced,n_separated,n_widowed,n_never_married,pct_married,pct_divorced,pct_never_married,pct_widowed,pct_separated
05051,Garland,2011,79539,42144,12059,1923,7492,17844,0.5299,0.1516,0.2243,0.0942,0.0242
05115,Pope,2011,49358,27298,6093,884,3070,12897,0.5531,0.1234,0.2613,0.0622,0.0179
05147,Woodruff,2011,6018,3197,869,185,601,1351,0.5312,0.1444,0.2245,0.0999,0.0307
05067,Jackson,2011,14935,7181,1986,570,1587,4181,0.4808,0.133,0.2799,0.1063,0.0382
05137,Stone,2011,10305,6393,1389,271,867,1656,0.6204,0.1348,0.1607,0.0841,0.0263
05005,Baxter,2011,35358,21725,4632,391,3446,5555,0.6144,0.131,0.1571,0.0975,0.0111
05055,Greene,2011,33007,20086,4624,780,2130,6167,0.6085,0.1401,0.1868,0.0645,0.0236
05107,Phillips,2011,16901,6851,2386,740,1858,5806,0.4054,0.1412,0.3435,0.1099,0.0438
05149,Yell,2011,17236,9981,2289,377,1321,3645,0.5791,0.1328,0.2115,0.0766,0.0219
05019,Clark,2011,19317,8471,1783,403,1432,7631,0.4385,0.0923,0.395,0.0741,0.0209
05095,Monroe,2011,6753,3209,780,241,793,1971,0.4752,0.1155,0.2919,0.1174,0.0357
05103,Ouachita,2011,21131,11124,2937,733,2128,4942,0.5264,0.139,0.2339,0.1007,0.0347
05001,Arkansas,2011,15511,8579,1931,469,1442,3559,0.5531,0.1245,0.2295,0.093,0.0302
05015,Carroll,2011,22059,13809,2650,499,1480,4120,0.626,0.1201,0.1868,0.0671,0.0226
05119,Pulaski,2011,302857,147937,41686,8205,18694,94540,0.4885,0.1376,0.3122,0.0617,0.0271
05099,Nevada,2012,7245,3914,1078,253,598,1655,0.5402,0.1488,0.2284,0.0825,0.0349
05037,Cross,2012,14254,8275,1488,484,1300,3191,0.5805,0.1044,0.2239,0.0912,0.034
05039,Dallas,2012,6440,3426,714,269,694,1606,0.532,0.1109,0.2494,0.1078,0.0418
05027,Columbia,2012,20135,9837,2244,696,1725,6329,0.4886,0.1114,0.3143,0.0857,0.0346
05125,Saline,2012,85821,51478,10967,1385,5351,18025,0.5998,0.1278,0.21,0.0624,0.0161
05141,Van Buren,2012,14355,8411,1900,348,1382,2662,0.5859,0.1324,0.1854,0.0963,0.0242
05065,Izard,2012,11566,7251,1405,232,994,1916,0.6269,0.1215,0.1657,0.0859,0.0201
05063,Independence,2012,29181,17261,3434,879,2251,6235,0.5915,0.1177,0.2137,0.0771,0.0301
05079,Lincoln,2012,11901,5415,1721,359,642,4123,0.455,0.1446,0.3464,0.0539,0.0302
05083,Logan,2012,17877,10140,2630,459,1424,3683,0.5672,0.1471,0.206,0.0797,0.0257
05053,Grant,2012,14360,9117,1331,198,948,2964,0.6349,0.0927,0.2064,0.066,0.0138
05035,Crittenden,2012,38465,17701,4777,1455,2618,13369,0.4602,0.1242,0.3476,0.0681,0.0378
05047,Franklin,2012,14463,8263,1942,482,1223,3035,0.5713,0.1343,0.2098,0.0846,0.0333
05045,Faulkner,2012,90444,47702,10137,1730,4549,28056,0.5274,0.1121,0.3102,0.0503,0.0191
05109,Pike,2012,9050,5269,1113,216,771,1897,0.5822,0.123,0.2096,0.0852,0.0239
05069,Jefferson,2012,61871,26577,8742,2116,4601,21951,0.4296,0.1413,0.3548,0.0744,0.0342
05089,Marion,2012,14302,9205,1576,369,1303,2218,0.6436,0.1102,0.1551,0.0911,0.0258
05097,Montgomery,2012,7838,5055,990,244,571,1222,0.6449,0.1263,0.1559,0.0729,0.0311
05127,Scott,2012,8938,5434,1120,213,757,1627,0.608,0.1253,0.182,0.0847,0.0238
05129,Searcy,2012,6730,3877,1129,132,596,1128,0.5761,0.1678,0.1676,0.0886,0.0196
05131,Sebastian,2012,99250,53158,13733,2806,6485,25874,0.5356,0.1384,0.2607,0.0653,0.0283
05033,Crawford,2012,48343,28522,6399,961,3090,10332,0.59,0.1324,0.2137,0.0639,0.0199
05007,Benton,2012,169628,105549,17174,2092,8604,38301,0.6222,0.1012,0.2258,0.0507,0.0123
05017,Chicot,2012,9487,4433,1051,401,1102,2901,0.4673,0.1108,0.3058,0.1162,0.0423
